COUNTRY,0-14 years old %,15-24 years %,25-54 years %,55-64 years %,65 years and above %,Internet users (%)
Montenegro,18.14,12.78,39.65,13.41,16.02,71.52
Montserrat,16.02,20.55,47.09,9.79,6.55,54.6
Morocco,27.04,16.55,40.64,8.67,7.11,64.8
Mozambique,45.57,19.91,28.28,3.31,2.93,10.0
Namibia,35.68,20.27,35.47,4.68,3.9,51.0
Nauru,30.87,16.35,42.57,6.72,3.48,57.0
Nepal,28.36,20.93,38.38,6.64,5.69,34.0
Netherlands,16.11,11.91,38.47,13.69,19.82,94.71
New Caledonia,21.74,15.63,43.73,9.06,9.84,82.01
New Zealand,19.63,12.92,39.98,11.93,15.54,90.81
Nicaragua,25.63,19.51,42.41,6.63,5.82,27.86
Niger,50.58,19.99,23.57,3.17,2.68,5.25
Nigeria,41.7,20.27,30.6,4.13,3.3,42.0
North Macedonia,16.16,12.65,44.47,12.55,14.17,79.17
Northern Mariana Islands,25.02,16.28,37.44,14.01,7.23,30.6
Norway,17.96,12.02,40.75,11.84,17.43,96.49
Oman,30.15,17.35,44.81,4.02,3.68,80.19
Pakistan,36.01,19.3,34.7,5.55,4.44,15.51
Palau,18.68,15.86,45.33,10.68,9.45,36.0
Panama,25.56,16.59,40.31,8.54,9.01,57.87
Papua New Guinea,31.98,19.87,37.68,5.83,4.64,11.21
Paraguay,23.41,17.71,42.63,8.37,7.88,64.99
Peru,25.43,17.21,41.03,8.28,8.05,52.54
Philippines,32.42,19.16,37.37,6.18,4.86,60.05
Poland,14.83,9.8,43.33,13.32,18.72,77.54
Portugal,13.58,10.94,41.49,13.08,20.92,74.66
Puerto Rico,14.22,12.78,37.73,13.5,21.77,70.6
Qatar,12.84,11.78,70.66,3.53,1.19,99.65
Romania,14.12,10.31,46.26,11.73,17.58,70.68
Russia,17.24,9.54,43.38,14.31,15.53,80.86
Rwanda,39.95,20.1,33.06,4.24,2.65,21.77
"Saint Helena, Ascension, and Tristan da Cunha",15.15,12.12,43.06,12.96,16.71,23.1
Saint Kitts and Nevis,19.87,13.46,43.64,13.03,10.0,80.71
Saint Lucia,19.24,13.6,42.83,11.23,13.1,50.82
Saint Martin,25.63,10.28,46.2,8.71,9.17,3.5
Saint Pierre and Miquelon,14.31,8.83,40.0,14.49,22.37,79.5
Saint Vincent and the Grenadines,20.15,14.83,42.63,11.68,10.72,22.39
Samoa,29.31,19.61,37.4,7.5,6.18,33.61
San Marino,14.73,11.64,39.12,14.28,20.24,60.18
Sao Tome and Principe,39.77,21.59,31.61,4.17,2.87,29.93
Saudi Arabia,24.84,15.38,50.2,5.95,3.63,93.31
Senegal,40.38,20.35,31.95,4.21,3.1,46.0
Serbia,14.07,11.04,41.19,13.7,20.0,73.36
Seychelles,18.85,12.39,49.03,11.46,8.27,58.77
Sierra Leone,41.38,18.83,32.21,3.89,3.7,9.0
Singapore,12.8,15.01,50.73,10.58,10.89,88.17
Slovakia,15.13,10.06,44.61,13.15,17.05,80.66
Slovenia,14.84,9.01,40.73,14.19,21.23,79.75
Solomon Islands,32.99,19.82,37.64,5.04,4.51,11.92
Somalia,42.38,19.81,30.93,4.61,2.27,2.0
South Africa,27.94,16.8,42.37,6.8,6.09,56.17
South Sudan,41.58,21.28,30.67,3.93,2.53,7.98
Spain,15.02,9.9,43.61,12.99,18.49,86.11
Sri Lanka,23.11,14.58,41.2,10.48,10.63,34.11
Sudan,42.01,20.94,29.89,4.13,3.03,30.87
Suriname,23.38,17.2,44.09,8.78,6.55,48.95
Sweden,17.71,10.8,39.01,11.9,20.59,92.14
Switzerland,15.34,10.39,42.05,13.48,18.73,89.69
Syria,33.47,19.34,37.31,5.41,4.46,34.25
Taiwan,12.42,11.62,45.51,14.73,15.72,92.78
Tajikistan,31.43,18.13,40.58,6.23,3.63,21.96
Tanzania,42.7,20.39,30.31,3.52,3.08,25.0
Thailand,16.45,13.02,45.69,13.01,11.82,56.82
Timor-Leste,39.96,20.32,30.44,5.22,4.06,27.49
Togo,39.73,19.03,33.26,4.42,3.57,12.36
Tonga,32.0,19.66,35.35,6.17,6.83,41.25
Trinidad and Tobago,19.01,11.28,43.77,13.83,12.11,77.33
Tunisia,25.28,12.9,42.85,10.12,8.86,64.19
Turkey,23.41,15.67,43.31,9.25,8.35,71.04
Turkmenistan,25.44,16.48,44.14,8.56,5.38,21.25
Tuvalu,29.42,17.61,37.17,9.12,6.68,49.32
Uganda,48.21,20.25,26.24,2.91,2.38,23.71
Ukraine,16.16,9.28,43.66,13.87,17.03,58.89
United Arab Emirates,14.45,7.94,68.03,7.68,1.9,98.45
United Kingdom,17.63,11.49,39.67,12.73,18.48,94.9
United States,18.46,12.91,38.92,12.86,16.85,87.27
Uruguay,19.51,15.14,39.86,10.79,14.71,68.28
Uzbekistan,23.19,16.63,45.68,8.63,5.87,52.31
Vanuatu,33.65,19.99,36.09,5.89,4.39,25.72
Venezuela,25.66,16.14,41.26,8.76,8.18,72.0
Vietnam,22.61,15.22,45.7,9.55,6.91,70.35
Virgin Islands,19.9,10.32,36.43,14.16,19.19,64.38
Wallis and Futuna,20.58,14.72,43.55,9.92,11.23,22.1
West Bank,35.31,20.75,35.19,5.12,3.62,57.4
Yemen,39.16,21.26,32.78,4.0,2.8,26.72
Zambia,45.74,20.03,28.96,3.01,2.27,14.3
Zimbabwe,38.32,20.16,32.94,4.07,4.52,27.06
